room	label	lat	long	level	geometry
http://id.southampton.ac.uk/room/32-3053	32 / 3053	50.93608282	-1.395862631	3	POLYGON((-1.3959032591 50.9360974713,-1.3958288786 50.9361029059,-1.3958253752 50.9360854132,-1.3958212429 50.9360683734,-1.3958389397 50.9360670148,-1.3958967912 50.9360627689,-1.3959032591 50.9360974713))
http://id.southampton.ac.uk/room/32-3075	32 / 3075	50.93644045	-1.395865253	3	POLYGON((-1.3958808012 50.9364472671,-1.3958530433 50.9364491919,-1.3958498093 50.9364378132,-1.3958486415 50.9364335674,-1.3958790944 50.9364322088,-1.3958808012 50.9364472671))
http://id.southampton.ac.uk/room/32-3089	32 / 3089	50.93668507	-1.395886121	3	POLYGON((-1.3959096371 50.9366962948,-1.3958685841 50.9367003707,-1.3958627451 50.9366729149,-1.3959045167 50.9366707071,-1.3959096371 50.9366962948))
http://id.southampton.ac.uk/room/32-3091	32 / 3091	50.93671001	-1.395891691	3	POLYGON((-1.3959147575 50.9367197879,-1.3958736147 50.9367235807,-1.3958685841 50.9367003707,-1.3959096371 50.9366962948,-1.3959147575 50.9367197879))
http://id.southampton.ac.uk/room/32-4001	32 / 4001	50.93680209	-1.395974912	4	POLYGON((-1.3960220164 50.9368191947,-1.3959575173 50.9368240066,-1.3959351493 50.9368257049,-1.3959317357 50.9368049857,-1.3959283221 50.9367842665,-1.3960150994 50.936779115,-1.3960220164 50.9368191947))
http://id.southampton.ac.uk/room/32-4003	32 / 4003	50.93683188	-1.395991532	4	POLYGON((-1.3960249808 50.9368400837,-1.3959765616 50.9368433671,-1.3959609309 50.936844103,-1.3959575173 50.9368240066,-1.3960220164 50.9368191947,-1.3960249808 50.9368400837))
http://id.southampton.ac.uk/room/32-4007	32 / 4007	50.93681706	-1.395913757	4	POLYGON((-1.3959351493 50.9368257049,-1.3958967014 50.9368296675,-1.39589212 50.936807986,-1.3959317357 50.9368049857,-1.3959351493 50.9368257049))
http://id.southampton.ac.uk/room/32-4009	32 / 4009	50.93683631	-1.395929562	4	POLYGON((-1.3959609309 50.936844103,-1.3959016421 50.9368481789,-1.3958967014 50.9368296675,-1.3959351493 50.9368257049,-1.3959575173 50.9368240066,-1.3959609309 50.936844103))
http://id.southampton.ac.uk/room/32-4011	32 / 4011	50.93684203	-1.395854642	4	POLYGON((-1.3959016421 50.9368481789,-1.3958120801 50.936854689,-1.395808936 50.9368354983,-1.3958677756 50.936831479,-1.3958967014 50.9368296675,-1.3959016421 50.9368481789))
http://id.southampton.ac.uk/room/32-4013	32 / 4013	50.93682345	-1.395836472	4	POLYGON((-1.3958677756 50.936831479,-1.395808936 50.9368354983,-1.3958055224 50.9368147792,-1.395864901 50.9368120053,-1.3958677756 50.936831479))
http://id.southampton.ac.uk/room/32-4015	32 / 4015	50.93680398	-1.395833845	4	POLYGON((-1.395864901 50.9368120053,-1.3958055224 50.9368147792,-1.395802558 50.936796664,-1.3958608586 50.9367924749,-1.395864901 50.9368120053))
http://id.southampton.ac.uk/room/32-4017	32 / 4017	50.93678362	-1.395829809	4	POLYGON((-1.3958608586 50.9367924749,-1.395802558 50.936796664,-1.3957990545 50.9367750957,-1.3958560077 50.9367701707,-1.3958608586 50.9367924749))
http://id.southampton.ac.uk/room/32-4019	32 / 4019	50.93676104	-1.395825117	4	POLYGON((-1.3958560077 50.9367701707,-1.3957990545 50.9367750957,-1.3957950121 50.9367513762,-1.3958509772 50.9367473003,-1.3958560077 50.9367701707))
http://id.southampton.ac.uk/room/32-4021	32 / 4021	50.93673829	-1.39582094	4	POLYGON((-1.3958509772 50.9367473003,-1.3957950121 50.9367513762,-1.3957914188 50.9367291851,-1.3958463059 50.9367251658,-1.3958509772 50.9367473003))
http://id.southampton.ac.uk/room/32-4023	32 / 4023	50.93671452	-1.395816443	4	POLYGON((-1.3958463059 50.9367251658,-1.3957914188 50.9367291851,-1.3957871968 50.9367037107,-1.3958408262 50.9366998046,-1.3958463059 50.9367251658))
http://id.southampton.ac.uk/room/32-4025	32 / 4025	50.93668873	-1.395811455	4	POLYGON((-1.3958408262 50.9366998046,-1.3957871968 50.9367037107,-1.3957858493 50.9366949927,-1.395782795 50.936677104,-1.3958354363 50.9366741037,-1.3958408262 50.9366998046))
http://id.southampton.ac.uk/room/32-4029	32 / 4029	50.93621943	-1.395733917	4	POLYGON((-1.3957621338 50.9362339027,-1.395710301 50.9362369031,-1.3957050908 50.9362052012,-1.3957580914 50.9362019744,-1.3957621338 50.9362339027))
http://id.southampton.ac.uk/room/32-4031	32 / 4031	50.9361895	-1.395729539	4	POLYGON((-1.3957580914 50.9362019744,-1.3957050908 50.9362052012,-1.39570015 50.9361776885,-1.3957542286 50.9361733861,-1.3957580914 50.9362019744))
http://id.southampton.ac.uk/room/32-4033	32 / 4033	50.93616482	-1.395725506	4	POLYGON((-1.3957542286 50.9361733861,-1.39570015 50.9361776885,-1.3956970059 50.9361560633,-1.3957509048 50.9361521005,-1.3957542286 50.9361733861))
http://id.southampton.ac.uk/room/32-4035	32 / 4035	50.93614183	-1.395721717	4	POLYGON((-1.3957509048 50.9361521005,-1.3956970059 50.9361560633,-1.3956924245 50.936131381,-1.3957468624 50.9361278146,-1.3957509048 50.9361521005))
http://id.southampton.ac.uk/room/32-4037	32 / 4037	50.93611798	-1.395717948	4	POLYGON((-1.3957468624 50.9361278146,-1.3956924245 50.936131381,-1.3956891906 50.9361083971,-1.39574282 50.9361042646,-1.3957468624 50.9361278146))
http://id.southampton.ac.uk/room/32-4039	32 / 4039	50.93609681	-1.395714346	4	POLYGON((-1.39574282 50.9361042646,-1.3956891906 50.9361083971,-1.3956855075 50.9360890929,-1.3957405742 50.936085583,-1.39574282 50.9361042646))
http://id.southampton.ac.uk/room/32-4041	32 / 4041	50.93607688	-1.395711192	4	POLYGON((-1.3957405742 50.936085583,-1.3956855075 50.9360890929,-1.395682543 50.9360678639,-1.395736442 50.9360648069,-1.3957405742 50.936085583))
http://id.southampton.ac.uk/room/32-4043	32 / 4043	50.93605242	-1.395721798	4	POLYGON((-1.3957650084 50.9360620896,-1.395736442 50.9360648069,-1.395682543 50.9360678639,-1.395678321 50.9360422759,-1.3957613253 50.9360367846,-1.3957650084 50.9360620896))
http://id.southampton.ac.uk/room/32-4045	32 / 4045	50.93605204	-1.395800008	4	POLYGON((-1.3958389397 50.9360670148,-1.3958212429 50.9360683734,-1.395767344 50.9360721097,-1.3957650084 50.9360620896,-1.3957613253 50.9360367846,-1.3958332803 50.936032086,-1.3958389397 50.9360670148))
http://id.southampton.ac.uk/room/32-4047	32 / 4047	50.93607877	-1.395795914	4	POLYGON((-1.3958253752 50.9360854132,-1.3957693203 50.9360889797,-1.395767344 50.9360721097,-1.3958212429 50.9360683734,-1.3958253752 50.9360854132))
http://id.southampton.ac.uk/room/32-4051	32 / 4051	50.9360475	-1.395865225	4	POLYGON((-1.3958967912 50.9360627689,-1.3958389397 50.9360670148,-1.3958332803 50.936032086,-1.3958922098 50.936028293,-1.3958967912 50.9360627689))
http://id.southampton.ac.uk/room/32-4057	32 / 4057	50.93618147	-1.395812504	4	POLYGON((-1.3958426228 50.9361971625,-1.3957869273 50.9362001629,-1.3957825255 50.9361658003,-1.3958378618 50.9361626867,-1.3958426228 50.9361971625))
http://id.southampton.ac.uk/room/32-4059	32 / 4059	50.93621451	-1.395817218	4	POLYGON((-1.3958470246 50.9362292041,-1.3957920477 50.9362316949,-1.3957869273 50.9362001629,-1.3958426228 50.9361971625,-1.3958470246 50.9362292041))
http://id.southampton.ac.uk/room/32-4089	32 / 4089	50.93668507	-1.395886121	4	POLYGON((-1.3959096371 50.9366962948,-1.3958685841 50.9367003707,-1.3958627451 50.9366729149,-1.3959045167 50.9366707071,-1.3959096371 50.9366962948))
http://id.southampton.ac.uk/room/32-4091	32 / 4091	50.93671001	-1.395891691	4	POLYGON((-1.3959147575 50.9367197879,-1.3958736147 50.9367235807,-1.3958685841 50.9367003707,-1.3959096371 50.9366962948,-1.3959147575 50.9367197879))
